eq_id	root_symbol	template_symbol	cell_symbol	target_voc	target_unv	analysis__root_id	analysis__root	analysis__binyan	analysis__cell	analysis__form_id	analysis__r1	analysis__r2	analysis__r3
R018|T4|C0	R018	T4	C0	הֻצְשַׁכְתִּי	הצשכתי	SYN-RT-dcdce79d41	צשׁכ	HUFAL	PST.1SG	SYN-LX-dad11c2b12.PST.1SG	צ	שׁ	כ
R018|T4|C1	R018	T4	C1	הֻצְשַׁכְתָּ	הצשכת	SYN-RT-dcdce79d41	צשׁכ	HUFAL	PST.2MSG	SYN-LX-dad11c2b12.PST.2MSG	צ	שׁ	כ
R018|T4|C2	R018	T4	C2	הֻצְשַׁכְתְּ	הצשכת	SYN-RT-dcdce79d41	צשׁכ	HUFAL	PST.2FSG	SYN-LX-dad11c2b12.PST.2FSG	צ	שׁ	כ
R018|T4|C3	R018	T4	C3	הֻצְשַׁך	הצשך	SYN-RT-dcdce79d41	צשׁכ	HUFAL	PST.3MSG	SYN-LX-dad11c2b12.PST.3MSG	צ	שׁ	כ
R018|T4|C4	R018	T4	C4	הֻצְשְׁכָה	הצשכה	SYN-RT-dcdce79d41	צשׁכ	HUFAL	PST.3FSG	SYN-LX-dad11c2b12.PST.3FSG	צ	שׁ	כ
R018|T4|C5	R018	T4	C5	הֻצְשַׁכְנוּ	הצשכנו	SYN-RT-dcdce79d41	צשׁכ	HUFAL	PST.1PL	SYN-LX-dad11c2b12.PST.1PL	צ	שׁ	כ
R018|T4|C6	R018	T4	C6	הֻצְשַׁכְתֶּם	הצשכתם	SYN-RT-dcdce79d41	צשׁכ	HUFAL	PST.2MPL	SYN-LX-dad11c2b12.PST.2MPL	צ	שׁ	כ
R018|T4|C7	R018	T4	C7	הֻצְשַׁכְתֶּן	הצשכתן	SYN-RT-dcdce79d41	צשׁכ	HUFAL	PST.2FPL	SYN-LX-dad11c2b12.PST.2FPL	צ	שׁ	כ
R018|T4|C8	R018	T4	C8	הֻצְשְׁכוּ	הצשכו	SYN-RT-dcdce79d41	צשׁכ	HUFAL	PST.3PL	SYN-LX-dad11c2b12.PST.3PL	צ	שׁ	כ
R018|T5|C0	R018	T5	C0	צָשַׁכְתִּי	צשכתי	SYN-RT-dcdce79d41	צשׁכ	PAAL	PST.1SG	SYN-LX-c56cac8ae1.PST.1SG	צ	שׁ	כ
R018|T5|C1	R018	T5	C1	צָשַׁכְתָּ	צשכת	SYN-RT-dcdce79d41	צשׁכ	PAAL	PST.2MSG	SYN-LX-c56cac8ae1.PST.2MSG	צ	שׁ	כ
R018|T5|C2	R018	T5	C2	צָשַׁכְתְּ	צשכת	SYN-RT-dcdce79d41	צשׁכ	PAAL	PST.2FSG	SYN-LX-c56cac8ae1.PST.2FSG	צ	שׁ	כ
R018|T5|C3	R018	T5	C3	צָשַׁך	צשך	SYN-RT-dcdce79d41	צשׁכ	PAAL	PST.3MSG	SYN-LX-c56cac8ae1.PST.3MSG	צ	שׁ	כ
R018|T5|C4	R018	T5	C4	צָשְׁכָה	צשכה	SYN-RT-dcdce79d41	צשׁכ	PAAL	PST.3FSG	SYN-LX-c56cac8ae1.PST.3FSG	צ	שׁ	כ
R018|T5|C5	R018	T5	C5	צָשַׁכְנוּ	צשכנו	SYN-RT-dcdce79d41	צשׁכ	PAAL	PST.1PL	SYN-LX-c56cac8ae1.PST.1PL	צ	שׁ	כ
R018|T5|C6	R018	T5	C6	צְשַׁכְתֶּם	צשכתם	SYN-RT-dcdce79d41	צשׁכ	PAAL	PST.2MPL	SYN-LX-c56cac8ae1.PST.2MPL	צ	שׁ	כ
R018|T5|C7	R018	T5	C7	צְשַׁכְתֶּן	צשכתן	SYN-RT-dcdce79d41	צשׁכ	PAAL	PST.2FPL	SYN-LX-c56cac8ae1.PST.2FPL	צ	שׁ	כ
R018|T5|C8	R018	T5	C8	צָשְׁכוּ	צשכו	SYN-RT-dcdce79d41	צשׁכ	PAAL	PST.3PL	SYN-LX-c56cac8ae1.PST.3PL	צ	שׁ	כ
R018|T6|C0	R018	T6	C0	הִתְצַשַּׁכְתִּי	התצשכתי	SYN-RT-dcdce79d41	צשׁכ	HITPAEL	PST.1SG	SYN-LX-05e48e66ca.PST.1SG	צ	שׁ	כ
R018|T6|C1	R018	T6	C1	הִתְצַשַּׁכְתָּ	התצשכת	SYN-RT-dcdce79d41	צשׁכ	HITPAEL	PST.2MSG	SYN-LX-05e48e66ca.PST.2MSG	צ	שׁ	כ
R018|T6|C2	R018	T6	C2	הִתְצַשַּׁכְתְּ	התצשכת	SYN-RT-dcdce79d41	צשׁכ	HITPAEL	PST.2FSG	SYN-LX-05e48e66ca.PST.2FSG	צ	שׁ	כ
R018|T6|C3	R018	T6	C3	הִתְצַשֵּׁך	התצשך	SYN-RT-dcdce79d41	צשׁכ	HITPAEL	PST.3MSG	SYN-LX-05e48e66ca.PST.3MSG	צ	שׁ	כ
R018|T6|C4	R018	T6	C4	הִתְצַשְּׁכָה	התצשכה	SYN-RT-dcdce79d41	צשׁכ	HITPAEL	PST.3FSG	SYN-LX-05e48e66ca.PST.3FSG	צ	שׁ	כ
R018|T6|C5	R018	T6	C5	הִתְצַשַּׁכְנוּ	התצשכנו	SYN-RT-dcdce79d41	צשׁכ	HITPAEL	PST.1PL	SYN-LX-05e48e66ca.PST.1PL	צ	שׁ	כ
R018|T6|C6	R018	T6	C6	הִתְצַשַּׁכְתֶּם	התצשכתם	SYN-RT-dcdce79d41	צשׁכ	HITPAEL	PST.2MPL	SYN-LX-05e48e66ca.PST.2MPL	צ	שׁ	כ
R018|T6|C7	R018	T6	C7	הִתְצַשַּׁכְתֶּן	התצשכתן	SYN-RT-dcdce79d41	צשׁכ	HITPAEL	PST.2FPL	SYN-LX-05e48e66ca.PST.2FPL	צ	שׁ	כ
R018|T6|C8	R018	T6	C8	הִתְצַשְּׁכוּ	התצשכו	SYN-RT-dcdce79d41	צשׁכ	HITPAEL	PST.3PL	SYN-LX-05e48e66ca.PST.3PL	צ	שׁ	כ
R019|T0|C0	R019	T0	C0	נִגְסַצְתִּי	נגסצתי	SYN-RT-49f57f5e83	גסצ	NIFAL	PST.1SG	SYN-LX-8e384afebb.PST.1SG	ג	ס	צ
R019|T0|C1	R019	T0	C1	נִגְסַצְתָּ	נגסצת	SYN-RT-49f57f5e83	גסצ	NIFAL	PST.2MSG	SYN-LX-8e384afebb.PST.2MSG	ג	ס	צ
R019|T0|C2	R019	T0	C2	נִגְסַצְתְּ	נגסצת	SYN-RT-49f57f5e83	גסצ	NIFAL	PST.2FSG	SYN-LX-8e384afebb.PST.2FSG	ג	ס	צ
R019|T0|C3	R019	T0	C3	נִגְסַץ	נגסץ	SYN-RT-49f57f5e83	גסצ	NIFAL	PST.3MSG	SYN-LX-8e384afebb.PST.3MSG	ג	ס	צ
R019|T0|C4	R019	T0	C4	נִגְסְצָה	נגסצה	SYN-RT-49f57f5e83	גסצ	NIFAL	PST.3FSG	SYN-LX-8e384afebb.PST.3FSG	ג	ס	צ
R019|T0|C5	R019	T0	C5	נִגְסַצְנוּ	נגסצנו	SYN-RT-49f57f5e83	גסצ	NIFAL	PST.1PL	SYN-LX-8e384afebb.PST.1PL	ג	ס	צ
R019|T0|C6	R019	T0	C6	נִגְסַצְתֶּם	נגסצתם	SYN-RT-49f57f5e83	גסצ	NIFAL	PST.2MPL	SYN-LX-8e384afebb.PST.2MPL	ג	ס	צ
R019|T0|C7	R019	T0	C7	נִגְסַצְתֶּן	נגסצתן	SYN-RT-49f57f5e83	גסצ	NIFAL	PST.2FPL	SYN-LX-8e384afebb.PST.2FPL	ג	ס	צ
R019|T0|C8	R019	T0	C8	נִגְסְצוּ	נגסצו	SYN-RT-49f57f5e83	גסצ	NIFAL	PST.3PL	SYN-LX-8e384afebb.PST.3PL	ג	ס	צ
R019|T1|C0	R019	T1	C0	הִגְסַצְתִּי	הגסצתי	SYN-RT-49f57f5e83	גסצ	HIFIL	PST.1SG	SYN-LX-25f5711516.PST.1SG	ג	ס	צ
R019|T1|C1	R019	T1	C1	הִגְסַצְתָּ	הגסצת	SYN-RT-49f57f5e83	גסצ	HIFIL	PST.2MSG	SYN-LX-25f5711516.PST.2MSG	ג	ס	צ
R019|T1|C2	R019	T1	C2	הִגְסַצְתְּ	הגסצת	SYN-RT-49f57f5e83	גסצ	HIFIL	PST.2FSG	SYN-LX-25f5711516.PST.2FSG	ג	ס	צ
R019|T1|C3	R019	T1	C3	הִגְסִיץ	הגסיץ	SYN-RT-49f57f5e83	גסצ	HIFIL	PST.3MSG	SYN-LX-25f5711516.PST.3MSG	ג	ס	צ
R019|T1|C4	R019	T1	C4	הִגְסִיצָה	הגסיצה	SYN-RT-49f57f5e83	גסצ	HIFIL	PST.3FSG	SYN-LX-25f5711516.PST.3FSG	ג	ס	צ
R019|T1|C5	R019	T1	C5	הִגְסַצְנוּ	הגסצנו	SYN-RT-49f57f5e83	גסצ	HIFIL	PST.1PL	SYN-LX-25f5711516.PST.1PL	ג	ס	צ
R019|T1|C6	R019	T1	C6	הִגְסַצְתֶּם	הגסצתם	SYN-RT-49f57f5e83	גסצ	HIFIL	PST.2MPL	SYN-LX-25f5711516.PST.2MPL	ג	ס	צ
R019|T1|C7	R019	T1	C7	הִגְסַצְתֶּן	הגסצתן	SYN-RT-49f57f5e83	גסצ	HIFIL	PST.2FPL	SYN-LX-25f5711516.PST.2FPL	ג	ס	צ
R019|T1|C8	R019	T1	C8	הִגְסִיצוּ	הגסיצו	SYN-RT-49f57f5e83	גסצ	HIFIL	PST.3PL	SYN-LX-25f5711516.PST.3PL	ג	ס	צ
R019|T2|C0	R019	T2	C0	גֻסַּצְתִּי	גסצתי	SYN-RT-49f57f5e83	גסצ	PUAL	PST.1SG	SYN-LX-c046ecfd89.PST.1SG	ג	ס	צ
R019|T2|C1	R019	T2	C1	גֻסַּצְתָּ	גסצת	SYN-RT-49f57f5e83	גסצ	PUAL	PST.2MSG	SYN-LX-c046ecfd89.PST.2MSG	ג	ס	צ
R019|T2|C2	R019	T2	C2	גֻסַּצְתְּ	גסצת	SYN-RT-49f57f5e83	גסצ	PUAL	PST.2FSG	SYN-LX-c046ecfd89.PST.2FSG	ג	ס	צ
R019|T2|C3	R019	T2	C3	גֻסַּץ	גסץ	SYN-RT-49f57f5e83	גסצ	PUAL	PST.3MSG	SYN-LX-c046ecfd89.PST.3MSG	ג	ס	צ
R019|T2|C4	R019	T2	C4	גֻסְּצָה	גסצה	SYN-RT-49f57f5e83	גסצ	PUAL	PST.3FSG	SYN-LX-c046ecfd89.PST.3FSG	ג	ס	צ
R019|T2|C5	R019	T2	C5	גֻסַּצְנוּ	גסצנו	SYN-RT-49f57f5e83	גסצ	PUAL	PST.1PL	SYN-LX-c046ecfd89.PST.1PL	ג	ס	צ
R019|T2|C6	R019	T2	C6	גֻסַּצְתֶּם	גסצתם	SYN-RT-49f57f5e83	גסצ	PUAL	PST.2MPL	SYN-LX-c046ecfd89.PST.2MPL	ג	ס	צ
R019|T2|C7	R019	T2	C7	גֻסַּצְתֶּן	גסצתן	SYN-RT-49f57f5e83	גסצ	PUAL	PST.2FPL	SYN-LX-c046ecfd89.PST.2FPL	ג	ס	צ
R019|T2|C8	R019	T2	C8	גֻסְּצוּ	גסצו	SYN-RT-49f57f5e83	גסצ	PUAL	PST.3PL	SYN-LX-c046ecfd89.PST.3PL	ג	ס	צ
R019|T3|C0	R019	T3	C0	גִסַּצְתִּי	גסצתי	SYN-RT-49f57f5e83	גסצ	PIEL	PST.1SG	SYN-LX-6cd1151d5f.PST.1SG	ג	ס	צ
R019|T3|C1	R019	T3	C1	גִסַּצְתָּ	גסצת	SYN-RT-49f57f5e83	גסצ	PIEL	PST.2MSG	SYN-LX-6cd1151d5f.PST.2MSG	ג	ס	צ
R019|T3|C2	R019	T3	C2	גִסַּצְתְּ	גסצת	SYN-RT-49f57f5e83	גסצ	PIEL	PST.2FSG	SYN-LX-6cd1151d5f.PST.2FSG	ג	ס	צ
R019|T3|C3	R019	T3	C3	גִסֵּץ	גסץ	SYN-RT-49f57f5e83	גסצ	PIEL	PST.3MSG	SYN-LX-6cd1151d5f.PST.3MSG	ג	ס	צ
R019|T3|C4	R019	T3	C4	גִסְּצָה	גסצה	SYN-RT-49f57f5e83	גסצ	PIEL	PST.3FSG	SYN-LX-6cd1151d5f.PST.3FSG	ג	ס	צ
R019|T3|C5	R019	T3	C5	גִסַּצְנוּ	גסצנו	SYN-RT-49f57f5e83	גסצ	PIEL	PST.1PL	SYN-LX-6cd1151d5f.PST.1PL	ג	ס	צ
R019|T3|C6	R019	T3	C6	גִסַּצְתֶּם	גסצתם	SYN-RT-49f57f5e83	גסצ	PIEL	PST.2MPL	SYN-LX-6cd1151d5f.PST.2MPL	ג	ס	צ
R019|T3|C7	R019	T3	C7	גִסַּצְתֶּן	גסצתן	SYN-RT-49f57f5e83	גסצ	PIEL	PST.2FPL	SYN-LX-6cd1151d5f.PST.2FPL	ג	ס	צ
R019|T3|C8	R019	T3	C8	גִסְּצוּ	גסצו	SYN-RT-49f57f5e83	גסצ	PIEL	PST.3PL	SYN-LX-6cd1151d5f.PST.3PL	ג	ס	צ
R019|T4|C0	R019	T4	C0	הֻגְסַצְתִּי	הגסצתי	SYN-RT-49f57f5e83	גסצ	HUFAL	PST.1SG	SYN-LX-9b2a55d5ae.PST.1SG	ג	ס	צ
R019|T4|C1	R019	T4	C1	הֻגְסַצְתָּ	הגסצת	SYN-RT-49f57f5e83	גסצ	HUFAL	PST.2MSG	SYN-LX-9b2a55d5ae.PST.2MSG	ג	ס	צ
R019|T4|C2	R019	T4	C2	הֻגְסַצְתְּ	הגסצת	SYN-RT-49f57f5e83	גסצ	HUFAL	PST.2FSG	SYN-LX-9b2a55d5ae.PST.2FSG	ג	ס	צ
R019|T4|C3	R019	T4	C3	הֻגְסַץ	הגסץ	SYN-RT-49f57f5e83	גסצ	HUFAL	PST.3MSG	SYN-LX-9b2a55d5ae.PST.3MSG	ג	ס	צ
R019|T4|C4	R019	T4	C4	הֻגְסְצָה	הגסצה	SYN-RT-49f57f5e83	גסצ	HUFAL	PST.3FSG	SYN-LX-9b2a55d5ae.PST.3FSG	ג	ס	צ
R019|T4|C5	R019	T4	C5	הֻגְסַצְנוּ	הגסצנו	SYN-RT-49f57f5e83	גסצ	HUFAL	PST.1PL	SYN-LX-9b2a55d5ae.PST.1PL	ג	ס	צ
R019|T4|C6	R019	T4	C6	הֻגְסַצְתֶּם	הגסצתם	SYN-RT-49f57f5e83	גסצ	HUFAL	PST.2MPL	SYN-LX-9b2a55d5ae.PST.2MPL	ג	ס	צ
R019|T4|C7	R019	T4	C7	הֻגְסַצְתֶּן	הגסצתן	SYN-RT-49f57f5e83	גסצ	HUFAL	PST.2FPL	SYN-LX-9b2a55d5ae.PST.2FPL	ג	ס	צ
R019|T4|C8	R019	T4	C8	הֻגְסְצוּ	הגסצו	SYN-RT-49f57f5e83	גסצ	HUFAL	PST.3PL	SYN-LX-9b2a55d5ae.PST.3PL	ג	ס	צ
R019|T5|C0	R019	T5	C0	גָסַצְתִּי	גסצתי	SYN-RT-49f57f5e83	גסצ	PAAL	PST.1SG	SYN-LX-fa2042fa43.PST.1SG	ג	ס	צ
R019|T5|C1	R019	T5	C1	גָסַצְתָּ	גסצת	SYN-RT-49f57f5e83	גסצ	PAAL	PST.2MSG	SYN-LX-fa2042fa43.PST.2MSG	ג	ס	צ
R019|T5|C2	R019	T5	C2	גָסַצְתְּ	גסצת	SYN-RT-49f57f5e83	גסצ	PAAL	PST.2FSG	SYN-LX-fa2042fa43.PST.2FSG	ג	ס	צ
R019|T5|C3	R019	T5	C3	גָסַץ	גסץ	SYN-RT-49f57f5e83	גסצ	PAAL	PST.3MSG	SYN-LX-fa2042fa43.PST.3MSG	ג	ס	צ
R019|T5|C4	R019	T5	C4	גָסְצָה	גסצה	SYN-RT-49f57f5e83	גסצ	PAAL	PST.3FSG	SYN-LX-fa2042fa43.PST.3FSG	ג	ס	צ
R019|T5|C5	R019	T5	C5	גָסַצְנוּ	גסצנו	SYN-RT-49f57f5e83	גסצ	PAAL	PST.1PL	SYN-LX-fa2042fa43.PST.1PL	ג	ס	צ
R019|T5|C6	R019	T5	C6	גְסַצְתֶּם	גסצתם	SYN-RT-49f57f5e83	גסצ	PAAL	PST.2MPL	SYN-LX-fa2042fa43.PST.2MPL	ג	ס	צ
R019|T5|C7	R019	T5	C7	גְסַצְתֶּן	גסצתן	SYN-RT-49f57f5e83	גסצ	PAAL	PST.2FPL	SYN-LX-fa2042fa43.PST.2FPL	ג	ס	צ
R019|T5|C8	R019	T5	C8	גָסְצוּ	גסצו	SYN-RT-49f57f5e83	גסצ	PAAL	PST.3PL	SYN-LX-fa2042fa43.PST.3PL	ג	ס	צ
R019|T6|C0	R019	T6	C0	הִתְגַסַּצְתִּי	התגסצתי	SYN-RT-49f57f5e83	גסצ	HITPAEL	PST.1SG	SYN-LX-4b231505f6.PST.1SG	ג	ס	צ
R019|T6|C1	R019	T6	C1	הִתְגַסַּצְתָּ	התגסצת	SYN-RT-49f57f5e83	גסצ	HITPAEL	PST.2MSG	SYN-LX-4b231505f6.PST.2MSG	ג	ס	צ
R019|T6|C2	R019	T6	C2	הִתְגַסַּצְתְּ	התגסצת	SYN-RT-49f57f5e83	גסצ	HITPAEL	PST.2FSG	SYN-LX-4b231505f6.PST.2FSG	ג	ס	צ
R019|T6|C3	R019	T6	C3	הִתְגַסֵּץ	התגסץ	SYN-RT-49f57f5e83	גסצ	HITPAEL	PST.3MSG	SYN-LX-4b231505f6.PST.3MSG	ג	ס	צ
R019|T6|C4	R019	T6	C4	הִתְגַסְּצָה	התגסצה	SYN-RT-49f57f5e83	גסצ	HITPAEL	PST.3FSG	SYN-LX-4b231505f6.PST.3FSG	ג	ס	צ
R019|T6|C5	R019	T6	C5	הִתְגַסַּצְנוּ	התגסצנו	SYN-RT-49f57f5e83	גסצ	HITPAEL	PST.1PL	SYN-LX-4b231505f6.PST.1PL	ג	ס	צ
R019|T6|C6	R019	T6	C6	הִתְגַסַּצְתֶּם	התגסצתם	SYN-RT-49f57f5e83	גסצ	HITPAEL	PST.2MPL	SYN-LX-4b231505f6.PST.2MPL	ג	ס	צ
R019|T6|C7	R019	T6	C7	הִתְגַסַּצְתֶּן	התגסצתן	SYN-RT-49f57f5e83	גסצ	HITPAEL	PST.2FPL	SYN-LX-4b231505f6.PST.2FPL	ג	ס	צ
R019|T6|C8	R019	T6	C8	הִתְגַסְּצוּ	התגסצו	SYN-RT-49f57f5e83	גסצ	HITPAEL	PST.3PL	SYN-LX-4b231505f6.PST.3PL	ג	ס	צ
R020|T0|C0	R020	T0	C0	נִכְמַקְתִּי	נכמקתי	SYN-RT-9abcfce119	כמק	NIFAL	PST.1SG	SYN-LX-700b051202.PST.1SG	כ	מ	ק
R020|T0|C1	R020	T0	C1	נִכְמַקְתָּ	נכמקת	SYN-RT-9abcfce119	כמק	NIFAL	PST.2MSG	SYN-LX-700b051202.PST.2MSG	כ	מ	ק
R020|T0|C2	R020	T0	C2	נִכְמַקְתְּ	נכמקת	SYN-RT-9abcfce119	כמק	NIFAL	PST.2FSG	SYN-LX-700b051202.PST.2FSG	כ	מ	ק
R020|T0|C3	R020	T0	C3	נִכְמַק	נכמק	SYN-RT-9abcfce119	כמק	NIFAL	PST.3MSG	SYN-LX-700b051202.PST.3MSG	כ	מ	ק
R020|T0|C4	R020	T0	C4	נִכְמְקָה	נכמקה	SYN-RT-9abcfce119	כמק	NIFAL	PST.3FSG	SYN-LX-700b051202.PST.3FSG	כ	מ	ק
R020|T0|C5	R020	T0	C5	נִכְמַקְנוּ	נכמקנו	SYN-RT-9abcfce119	כמק	NIFAL	PST.1PL	SYN-LX-700b051202.PST.1PL	כ	מ	ק
R020|T0|C6	R020	T0	C6	נִכְמַקְתֶּם	נכמקתם	SYN-RT-9abcfce119	כמק	NIFAL	PST.2MPL	SYN-LX-700b051202.PST.2MPL	כ	מ	ק
R020|T0|C7	R020	T0	C7	נִכְמַקְתֶּן	נכמקתן	SYN-RT-9abcfce119	כמק	NIFAL	PST.2FPL	SYN-LX-700b051202.PST.2FPL	כ	מ	ק
R020|T0|C8	R020	T0	C8	נִכְמְקוּ	נכמקו	SYN-RT-9abcfce119	כמק	NIFAL	PST.3PL	SYN-LX-700b051202.PST.3PL	כ	מ	ק
R020|T1|C0	R020	T1	C0	הִכְמַקְתִּי	הכמקתי	SYN-RT-9abcfce119	כמק	HIFIL	PST.1SG	SYN-LX-38e48866c8.PST.1SG	כ	מ	ק
R020|T1|C1	R020	T1	C1	הִכְמַקְתָּ	הכמקת	SYN-RT-9abcfce119	כמק	HIFIL	PST.2MSG	SYN-LX-38e48866c8.PST.2MSG	כ	מ	ק
R020|T1|C2	R020	T1	C2	הִכְמַקְתְּ	הכמקת	SYN-RT-9abcfce119	כמק	HIFIL	PST.2FSG	SYN-LX-38e48866c8.PST.2FSG	כ	מ	ק
R020|T1|C3	R020	T1	C3	הִכְמִיק	הכמיק	SYN-RT-9abcfce119	כמק	HIFIL	PST.3MSG	SYN-LX-38e48866c8.PST.3MSG	כ	מ	ק
R020|T1|C4	R020	T1	C4	הִכְמִיקָה	הכמיקה	SYN-RT-9abcfce119	כמק	HIFIL	PST.3FSG	SYN-LX-38e48866c8.PST.3FSG	כ	מ	ק
R020|T1|C5	R020	T1	C5	הִכְמַקְנוּ	הכמקנו	SYN-RT-9abcfce119	כמק	HIFIL	PST.1PL	SYN-LX-38e48866c8.PST.1PL	כ	מ	ק
R020|T1|C6	R020	T1	C6	הִכְמַקְתֶּם	הכמקתם	SYN-RT-9abcfce119	כמק	HIFIL	PST.2MPL	SYN-LX-38e48866c8.PST.2MPL	כ	מ	ק
R020|T1|C7	R020	T1	C7	הִכְמַקְתֶּן	הכמקתן	SYN-RT-9abcfce119	כמק	HIFIL	PST.2FPL	SYN-LX-38e48866c8.PST.2FPL	כ	מ	ק
R020|T1|C8	R020	T1	C8	הִכְמִיקוּ	הכמיקו	SYN-RT-9abcfce119	כמק	HIFIL	PST.3PL	SYN-LX-38e48866c8.PST.3PL	כ	מ	ק
R020|T2|C0	R020	T2	C0	כֻמַּקְתִּי	כמקתי	SYN-RT-9abcfce119	כמק	PUAL	PST.1SG	SYN-LX-1e3254d03f.PST.1SG	כ	מ	ק
R020|T2|C1	R020	T2	C1	כֻמַּקְתָּ	כמקת	SYN-RT-9abcfce119	כמק	PUAL	PST.2MSG	SYN-LX-1e3254d03f.PST.2MSG	כ	מ	ק
R020|T2|C2	R020	T2	C2	כֻמַּקְתְּ	כמקת	SYN-RT-9abcfce119	כמק	PUAL	PST.2FSG	SYN-LX-1e3254d03f.PST.2FSG	כ	מ	ק
R020|T2|C3	R020	T2	C3	כֻמַּק	כמק	SYN-RT-9abcfce119	כמק	PUAL	PST.3MSG	SYN-LX-1e3254d03f.PST.3MSG	כ	מ	ק
R020|T2|C4	R020	T2	C4	כֻמְּקָה	כמקה	SYN-RT-9abcfce119	כמק	PUAL	PST.3FSG	SYN-LX-1e3254d03f.PST.3FSG	כ	מ	ק
R020|T2|C5	R020	T2	C5	כֻמַּקְנוּ	כמקנו	SYN-RT-9abcfce119	כמק	PUAL	PST.1PL	SYN-LX-1e3254d03f.PST.1PL	כ	מ	ק
R020|T2|C6	R020	T2	C6	כֻמַּקְתֶּם	כמקתם	SYN-RT-9abcfce119	כמק	PUAL	PST.2MPL	SYN-LX-1e3254d03f.PST.2MPL	כ	מ	ק
R020|T2|C7	R020	T2	C7	כֻמַּקְתֶּן	כמקתן	SYN-RT-9abcfce119	כמק	PUAL	PST.2FPL	SYN-LX-1e3254d03f.PST.2FPL	כ	מ	ק
R020|T2|C8	R020	T2	C8	כֻמְּקוּ	כמקו	SYN-RT-9abcfce119	כמק	PUAL	PST.3PL	SYN-LX-1e3254d03f.PST.3PL	כ	מ	ק
R020|T3|C0	R020	T3	C0	כִמַּקְתִּי	כמקתי	SYN-RT-9abcfce119	כמק	PIEL	PST.1SG	SYN-LX-28d71c5a23.PST.1SG	כ	מ	ק
R020|T3|C1	R020	T3	C1	כִמַּקְתָּ	כמקת	SYN-RT-9abcfce119	כמק	PIEL	PST.2MSG	SYN-LX-28d71c5a23.PST.2MSG	כ	מ	ק
R020|T3|C2	R020	T3	C2	כִמַּקְתְּ	כמקת	SYN-RT-9abcfce119	כמק	PIEL	PST.2FSG	SYN-LX-28d71c5a23.PST.2FSG	כ	מ	ק
R020|T3|C3	R020	T3	C3	כִמֵּק	כמק	SYN-RT-9abcfce119	כמק	PIEL	PST.3MSG	SYN-LX-28d71c5a23.PST.3MSG	כ	מ	ק
R020|T3|C4	R020	T3	C4	כִמְּקָה	כמקה	SYN-RT-9abcfce119	כמק	PIEL	PST.3FSG	SYN-LX-28d71c5a23.PST.3FSG	כ	מ	ק
R020|T3|C5	R020	T3	C5	כִמַּקְנוּ	כמקנו	SYN-RT-9abcfce119	כמק	PIEL	PST.1PL	SYN-LX-28d71c5a23.PST.1PL	כ	מ	ק
R020|T3|C6	R020	T3	C6	כִמַּקְתֶּם	כמקתם	SYN-RT-9abcfce119	כמק	PIEL	PST.2MPL	SYN-LX-28d71c5a23.PST.2MPL	כ	מ	ק
R020|T3|C7	R020	T3	C7	כִמַּקְתֶּן	כמקתן	SYN-RT-9abcfce119	כמק	PIEL	PST.2FPL	SYN-LX-28d71c5a23.PST.2FPL	כ	מ	ק
R020|T3|C8	R020	T3	C8	כִמְּקוּ	כמקו	SYN-RT-9abcfce119	כמק	PIEL	PST.3PL	SYN-LX-28d71c5a23.PST.3PL	כ	מ	ק
R020|T4|C0	R020	T4	C0	הֻכְמַקְתִּי	הכמקתי	SYN-RT-9abcfce119	כמק	HUFAL	PST.1SG	SYN-LX-2faa18c50d.PST.1SG	כ	מ	ק
R020|T4|C1	R020	T4	C1	הֻכְמַקְתָּ	הכמקת	SYN-RT-9abcfce119	כמק	HUFAL	PST.2MSG	SYN-LX-2faa18c50d.PST.2MSG	כ	מ	ק
R020|T4|C2	R020	T4	C2	הֻכְמַקְתְּ	הכמקת	SYN-RT-9abcfce119	כמק	HUFAL	PST.2FSG	SYN-LX-2faa18c50d.PST.2FSG	כ	מ	ק
R020|T4|C3	R020	T4	C3	הֻכְמַק	הכמק	SYN-RT-9abcfce119	כמק	HUFAL	PST.3MSG	SYN-LX-2faa18c50d.PST.3MSG	כ	מ	ק
R020|T4|C4	R020	T4	C4	הֻכְמְקָה	הכמקה	SYN-RT-9abcfce119	כמק	HUFAL	PST.3FSG	SYN-LX-2faa18c50d.PST.3FSG	כ	מ	ק
R020|T4|C5	R020	T4	C5	הֻכְמַקְנוּ	הכמקנו	SYN-RT-9abcfce119	כמק	HUFAL	PST.1PL	SYN-LX-2faa18c50d.PST.1PL	כ	מ	ק
R020|T4|C6	R020	T4	C6	הֻכְמַקְתֶּם	הכמקתם	SYN-RT-9abcfce119	כמק	HUFAL	PST.2MPL	SYN-LX-2faa18c50d.PST.2MPL	כ	מ	ק
R020|T4|C7	R020	T4	C7	הֻכְמַקְתֶּן	הכמקתן	SYN-RT-9abcfce119	כמק	HUFAL	PST.2FPL	SYN-LX-2faa18c50d.PST.2FPL	כ	מ	ק
R020|T4|C8	R020	T4	C8	הֻכְמְקוּ	הכמקו	SYN-RT-9abcfce119	כמק	HUFAL	PST.3PL	SYN-LX-2faa18c50d.PST.3PL	כ	מ	ק
R020|T5|C0	R020	T5	C0	כָמַקְתִּי	כמקתי	SYN-RT-9abcfce119	כמק	PAAL	PST.1SG	SYN-LX-a6dac4c5c8.PST.1SG	כ	מ	ק
